0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:31 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:32 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/chat-icon.png HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [19/Apr/2023:12:21:33 +0900] "GET /sns-project/sns/alert.html HTTP/1.1" 304 -
